Name,Address,Grade,District,AGA Division,PS/MC/UC
OAK RAY RESTAURANT.,"NO 09, 2ND RAJASINGHE MAWATHA, GATABE, KANDY.",A,Kandy,Kandy,Kandy Divisional Secretariat
S.K RESTURANT,"URUTHIRAPURAM,PERIYAPARANTHAN,KILINOCHCHI.",A,Kilinochchi,Karachchi,Karachchi
BEEHIVE BY RNR,"MS 04,RACE COURSE,REID AVENUE,COLOMBO 07.",A,Colombo,Colombo,Colombo Divisional Secretariat
SENSASIA,"NO 96/A/3,PERALANDA,RAGAMA",B,Gampaha,Gampaha,Ja-Ela Divisional Secretariat
SARAVA VILLAGE,"NO. 609, GALLE ROAD, NARIGAMA, HIKKADUWA",B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
CLEOPATRA RESTAURANT,"NO. 250 B1, R.A.DE MEL MAWATHA, COLOMBO 03",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
41 SUGAR,"NO. 41 1/2, MAITLAND CRESCENT, COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
NIPUNA RESTAURANT (ALAWWA),"NO. 372, COLOMBO ROAD, KAPUWARALA, ALAWWA",A,Kurunegala,Alawwa Pradeshiya Sabha,Alawwa Divisional Secretariat
SOVEREIGN GERMAN RESTUARANT,"NO. 157, NAWALA ROAD, NUGEGODA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
BEACH WADIYA,"NO. 02, STATION AVENUE, COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat
BARS CAFE,"NO. 24, DEAL PLACE, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
MINISTRY OF CRAB,"SHOP 4, OLD DUTCH HOSPITAL BUILDING BANK OF CEYLON MAWATHA, COLOMBO FORT",A,Colombo,Colombo,Colombo Divisional Secretariat
NIPPON RESTAURANT,"NO.32,SRI MOHOMED MACAN MARKAR MAWATHA ,COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
GRAND MONARCH,"NO 527/7,BORELLA ROAD,THALAWATHUGODA",A,Colombo,Maharagama,Maharagama Divisional Secretariat
JO - JOS PLACE,"NO. 43/6 A , DE ALWIS AVENUE , MOUNT LAVINIA",B,Colombo,Colombo,Colombo Divisional Secretariat
RONS RESTAURANT & BAR,"NO. 160 , MAKOLA ROAD , KIRIBATHGODA",B,Gampaha,Kelaniya Pradeshiya Sabha,Kelaniya Divisional Secretariat
THE NEW PAN RESTAURANT,"NO. 218/4 , NEGOMBO ROAD , WATTALA",A,Gampaha,Gampaha,Gampaha Divisional Secretariat
TSING TAO,"MS -5 FIRST FLOOR,RACE COURSE,REID AVENUE,COLOMBO 7",A,Colombo,Colombo,Colombo Divisional Secretariat
JACK TREE RESTAURANT,"NO:200,PARK ROAD,COLOMBO 5",A,Colombo,Colombo,Colombo Divisional Secretariat
MALLIKA TRADING COMPLEX,"KANDY ROAD,KENGALLA.",B,Kandy,Kundasle,Kundasale Divisional Secretariat
PUBS AND PLACES (HIKKA CAFE),"NO 317,GALLE ROAD,HIKKADUWA",B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
NEW BLUE LAGOON RESTURANT,"NO 63/33,RANTHAMBILIGAHAWATTA,MORAGALLA,ALUTHGAMA",B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
VIENNA KAROKE BAR AND RESTAURANT,"6A,6AY,ALFRED HOUSE ROAD,COLOMBO 3",B,Colombo,Colombo,Colombo Divisional Secretariat
TAMARIND TREE,"NO:5,BASELINE ROAD,AVARIWATTA,KATUNAYAKA",B,Gampaha,Katunayake-Seeduwa,Katana Divisional Secretariat
TAPHOUSE BY R N R,"DUTCH HOSPITAL BUILDNE,COLOMBO 01",A,Colombo,Colombo,Colombo Divisional Secretariat
E.A.P.RESTAURANT,"NO:20,DR.N.M.PERERA MAWATHA,COLOMBO 08",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
GAWRAWA NETHWAN,"NO:89/1,HIGHLEVEL ROAD,KOTTAWA,PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat
SEASONS,"250/215,LIBERTY PLAZA,2ND FLOOR,R.A DE MEL MAWATHA,COLOMBO 3",A,Colombo,Colombo,Colombo Divisional Secretariat
SUN FLOWERS RESTAURANT,"BEACH SIDE,OFF POLICE BUNGLOW ROAD,MORAGALLA,BERUWALA",B,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
TROPICAL VILLAGE RESORT,"PALWEHERA,DAMBULLA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat
MACHAN (PANNIPITIYA),"179/5,HIGH LEVEL ROAD,PANNIPITIYA",A,Colombo,Maharagama,Maharagama Divisional Secretariat
LUFORTUNE,"108/1,SIRIBOPURA,HAMBANTOTA",B,Hambantota,Hambantota,Hambantota Divisional Secretariat
KINNAREE RESTAURANTS,"62A, 1ST FLOOR, CHATHAM STREET, COLOMBO 1.",A,Colombo,Colombo,Colombo Divisional Secretariat
LA FIESTA RESTURANT AND BAR,"62/4 CHATHAM STREET FORT,COLOMBO 1",A,Colombo,Colombo,Colombo Divisional Secretariat
MANJE RESTURANT,"NO 622,ANURADHAPURA ROAD,DAMBULLA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat
JETTERS,"NO 103E/4,NEW KANDY ROAD,KOTALAWALA,KADUWELA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
JAMBO RESTAURANT,"NATIONAL ZOOLOGICAL GARDEN ,DEHIWALA",A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
C LOUNGE,"16/2,SCHOFIELD PLACE,COLOMBO",A,Colombo,Colombo,Colombo Divisional Secretariat
T LOUNGE BY DILMAH,"62/2,CHATHAM STREET,COLOMBO 1",B,Colombo,Colombo,Colombo Divisional Secretariat
SHANGHAI RESTAURANT,"NO: 209,HORANA ROAR,PILIYANDALA",B,Colombo,Colombo,Colombo Divisional Secretariat
PRASANGIKA RESTURANT,"NO 139,KURUSA HANDIYA,PUGODA",B,Gampaha,Gampaha,kiridiwela
CHANNA RESTURANT,"B 7 ,KANDY ROAD,MEEPITIYA,KEGALLE",A,Kegalle,Kegalle,Kegalle Divisional Secretariat
THE BOULEVARD,"NO 33,QUEENS ROAD,COLOMBO 03",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
LONG TENG CHINESE RESTURANT,"NO 347,KANDY ROAD,AMBEPUSSA,WARAKAPOLA",A,Kegalle,WARAKAPOLA,Warakapola Divisional Secretariat
MACHAN (DAMBULLA),"NO 34,MIRISGONIYA,TRINCO ROAD,DAMBULLA",A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat
VICEROY SPECIAL RESTURANT,"C/0,JF TOURS,TRAVEL (CEY)LTD,58,HAVLOCK ROASD,COLOMBO 05",B,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
SHIRANI RESTAURANT,"N0.53/1/1, D.S SENANAYAKE MW, COLOMBO 08.",A,Colombo,Colombo,Colombo Divisional Secretariat
MACHAN (JA ELA),"300.TUDELLA,JA ELA",A,Gampaha,Gampaha,Ja-Ela Divisional Secretariat
MACHAN (NEGAMBO),"21,MINUWANGODA ROAD,NEGAMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
SEA FOOD RESTAURANT,"NO 344,MATARA ROAD,TANGALLE",A,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat
TGI FRIDAYS,"23,CANAL ROW,FORT,COLOMBO 01",A,Colombo,Colombo,Colombo Divisional Secretariat
SAMANALA RESTAURANT (MAHO),"KITULHERAGAMA, NAGOLLAGAMA, MAHO",B,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat
DOLCE VITA,"27,PORUTHOTA ROAD,ETHUKALA,NEGAMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat
AMBA SEVANA RESTAURANT,"154/A,KANDY ROAD,DALUGAMA,KELANIYA",B,Gampaha,Gampaha,Gampaha Divisional Secretariat
GAYANS FAMILY RESTURANT,"296,HOSPITAL ROAD,NEW TOWN,MULLERIYAWA",B,Colombo,Kolonna Pradeshiya Sabha,Kolonnawa Divisional Secretariat
THIDAS ARANA RESTAURANT,"23RD MILE POST,BENDIWEWA,POLONNARUWA",A,Polonnaruwa,Polonnaruwa,Thamankaduwa Divisional Secretariat
HOTEL RIVER ISLAND,"CHRISTOPER MAWATHA,WENNAPPUWA.",A,Puttalam,Wennappuwa Pradeshiya Sabha,Puttalam Divisional Secretariat
