Name,Address,Grade,District,AGA Division,PS/MC/UC
CHAPTER ONE,"931C,KOTTE ROAD,KOTTE",A,Colombo,Kotte Muncipal Council,Sri jayawadanapura
SUDARSHAN RESTAURANT,"NO 08,FRANKFORT PLACE,COLOMBO 04.",A,Colombo,Colombo,Colombo Divisional Secretariat
ROYAL SIGIRIYA RESTAURANT,"POTHANA KIBISSA, SIGIRIYA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat
HERITAGE RESTAURANT,"NO 13O, CENTRAL GARDEN LAND, MADAWALA ULPATHA.",A,Matale,Matale,Pallepola Divisional Secretariat
NALLUR BHAVAN,"250, TEMPLE ROAD, NALLUR, JAFFNA",B,Jaffna,Jaffna,Jaffna Divisional Secretariat
MATHURA MADRAS WOODLANDS,"16, MELBOURNE AVENUE, COLOMBO 04",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
THE RE-PUB.LK,"57, HOSPITAL STREET, COLOMBO 01.",A,Colombo,Colombo,Colombo Divisional Secretariat
BLUE SAPPHIRE RESTAURANT,"NO:156/158, HAPUTHALE ROAD, WELLAWAYA",B,Moneragala,Wellawaya,Wellawaya Divisional Secretariat
SUGAR,"G05, OLD DUTCH HOSPITAL, FORT, GALLE",B,Galle,Galle,Galle Divisional Secretariat
TONG NI ROAST MEAT RESTAURANT,"NO.59, WALUKARAMA ROAD, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
THE MANHATTAN FISH MARKET,"997/1,SRI JAYAWARDANAPURA ROAD,RAJAGIRIYA.",A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura
BARRACUDA SEA FOOD & GRILL,"41/2AWASALA ROAD,DEHIWALA",B,Colombo,Colombo,Dehiwala Divisional Secretariat
VOC CAFE,"DUTCH BURGHER UNION, NO 114, REID AVENUE, COLOMBO 04",B,Colombo,Colombo,Colombo Divisional Secretariat
SKY BOLLYWOOD LOUNGE,"NO-9,STATION ROAD,COLOMBO-04",A,Colombo,Colombo,Colombo Divisional Secretariat
LAVINIA RESTAURANT & HOTEL,"NO 43, BEACH ROAD, MT. LAVINIA",B,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
LOBBY BISTRO PLATINUM 1,"NO:1, BAGATALLE ROAD, COLOMBO 03",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
DOMINANT RAJAGIRIYA,"RECEPTION HALL, WELIKADA, RAJAGIRIYA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
OSTERIA ROMANA INDURUWA,"MUDIYANSE RALAHAMY'S ESTATE, YALEGAMA, INDURUWA",A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat
KUURAKU JAPANESE RESTAURANT,"48B, PARK STREET, COLOMBO02",A,Colombo,Colombo,Colombo Divisional Secretariat
MAKYE AME RESTAURANT,"NO 4 1/1, VAJIRA ROAD, COLOMBO 04",B,Colombo,Colombo,Colombo Divisional Secretariat
MOMO,"NO.11, NEGOMBO ROAD, WATTALA",A,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat
THE REGENT COUNTRY CLUB,"5/1,21ST LANE, ISURUPURA,MALABE",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
CANTEN CHINESE RESTAURANT,"NO.21SOMADAVI PL, KIRULAPONE AV COLOMBO 05",B,Colombo,Colombo,Colombo Divisional Secretariat
COCKPIT COLOMBO,"NO 7, 07A, 07/1B, FIFE ROAD, COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat
CEYLON TEA FACTORY RESTAURANT,"NO 05, WATHTHIRIYAWA WATTA, PASSARA ROAD, ELLA",A,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat
HOTEL INDOORA,"PUTTALAM ROAD, THITTAWELLA, KURUNAGALA",A,Kurunegala,Kurunegala,Maspotha Divisional Secretariat
DINE INN REATAURANT,"NO 47, W. A SILVA MAWATHA, COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat
THE SIZZLE,"29/1,STATION ROAD,DEHIWALA",A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
FILL FAMILY RESTAURANT,"NO 83, COLOMBO ROAD, KANDANA",B,Gampaha,MC,Ja-Ela Divisional Secretariat
SUSHI BAR SAMURAI,"226 1/1 SRI JAYAWARDANA PURA MW, RAJAGIRIYA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
H.BROTHER'S BROASTED CHICKEN,"NO- 163 DEANS ROAD, COLOMBO-10",A,Colombo,MC,Colombo Divisional Secretariat
GOLDEN SPOON SPICES,"27E, HOSPITAL ROAD, DEHIWELA",A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
FREE TRADE ZONE LIANA,"BOI SPORT COMPLEX,AWERIWATTA,KATUNAYAKE",B,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat
SILK LOUNGE AND RESTAURANT,"41-,3/1,MAITLAND CRESCENT,COLOMBO 7",A,Colombo,Colombo,Colombo Divisional Secretariat
LAK LAGUNA RESTAURANT,"78 MAIN ROAD,KALPITIYA,",B,Puttalam,Kalpitiya Pradeshiya Sabha,Puttalam Divisional Secretariat
THE EXCHANGE RESTAURANT,"NO. 39/4/1,CANAL RAW,COLOMBO 01.",B,Colombo,Colombo,Colombo Divisional Secretariat
MATHURA MADRAS WOODLANDS,"165,MAIN STREET,BATHTHARAMULLA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
K.D.K.RESTAURANT,"KOMBAVIL,W.N.4,PUTHUKUDIYUPPU,MULAITIVU",B,Mullaitivu,Mulatiyana Pradeshiya Sabha,Mullaitivu Divisional Secretariat
FAT PANDA,"31A,SEA AVENUE,COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
BLUE GINGER RESTAURANT,"356,CHILAW ROAD,PERIYAMULLA,NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
LIKOORI,"NO 25/1/2,STATION ROAD,BAMBALAPITIYA",B,Colombo,Colombo,Colombo Divisional Secretariat
GREEN VILLA FAMILY RESTAURANT,"NO 737/7 , THALANGAMA NORTH , MALABE.",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
HE PING RESTAURANT,"440,GALLE ROAD,RATHMALANA",A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat
MONSOON COLOMBO,"MONSSON COLOMBO,PARK STREET MEWS, PARK STREET,COLOMBO 2",A,Colombo,Colombo,Colombo Divisional Secretariat
SHAN CITY CHINEESE RESTAURANT,"27/3/1,,KOTUGODELLA VEEDIYA,,KANDY.",B,Kandy,Kandy,Kandy Divisional Secretariat
CHINESE DELIGHT RESTAURANT,"41-A,RIDGEWAY PLACE, MARINE DRIVE,COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat
SAMEEHA FAMILY RESTAURANT,"NO. 390,CHILAW ROAD, PERIYAMULLA,NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
SEA PORT RESTAURANT,"70,PORUTHOTA ROAD,ETHUKALA,NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
AMUSEUM,"9TH FLOOR, GREEN LANKA BUILDING,NAWAM MAWATHA,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat
